Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.001    0.000    0.076    0.003 kmeantools.py:134(remove_chroma)
      404    0.001    0.000    0.001    0.000 sre_compile.py:354(_simple)
        2    0.001    0.000    0.003    0.001 decorator.py:33(<module>)
        1    0.001    0.001    0.003    0.003 polynomial.py:4(<module>)
       96    0.001    0.000    0.025    0.000 sre_parse.py:675(parse)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.031    0.031 _bvp.py:1(<module>)
        1    0.001    0.001    0.001    0.001 trf_linear.py:2(<module>)
     1934    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
     1571    0.001    0.000    0.001    0.000 {setattr}
        3    0.001    0.000    0.005    0.002 kmeantools.py:290(PrepareMasterColors)
        2    0.001    0.000    0.001    0.000 __init__.py:9(<module>)
        1    0.001    0.001    0.002    0.002 pyplot.py:2057(_setup_pyplot_info_docstrings)
        1    0.001    0.001    0.062    0.062 classic.py:12(<module>)
     1295    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.001    0.001    0.001    0.001 _distributor_init.py:2(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:868(rc_params_from_file)
        1    0.000    0.000    0.001    0.001 _linprog.py:16(<module>)
        1    0.000    0.000    0.012    0.012 tokenize.py:26(<module>)
      332    0.000    0.000    0.001    0.000 pickle.py:870(marker)
      489    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       92    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.001    0.001 graph.py:9(<module>)
        1    0.000    0.000    0.002    0.002 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.005    0.005 decimal.py:116(<module>)
     1676    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_ip.py:3(<module>)
      952    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 patcomp.py:9(<module>)
       22    0.000    0.000    0.002    0.000 arraysetops.py:250(_unique1d)
       96    0.000    0.000    0.052    0.001 sre_compile.py:493(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
        1    0.000    0.000    0.001    0.001 correlation.py:3(<module>)
        1    0.000    0.000    0.000    0.000 branchings.py:10(<module>)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
       22    0.000    0.000    0.008    0.000 kmeantools.py:113(centroid_histogram)
        1    0.000    0.000    0.003    0.003 uuid.py:45(<module>)
     2626    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
     1083    0.000    0.000    0.001    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.002    0.002 cycles.py:5(<module>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
      934    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       22    0.000    0.000    0.001    0.000 index_tricks.py:247(__getitem__)
      407    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 betweenness.py:4(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:3(<module>)
      653    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 parse.py:11(<module>)
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
      172    0.000    0.000    0.003    0.000 cbook.py:1078(dedent)
     5532    0.000    0.000    0.000    0.000 {ord}
     2009    0.000    0.000    0.000    0.000 {marshal.loads}
      264    0.000    0.000    0.001    0.000 pickle.py:1185(load_appends)
        1    0.000    0.000    0.000    0.000 density.py:3(<module>)
      117    0.000    0.000    0.015    0.000 decorator.py:233(decorate)
        1    0.000    0.000    0.002    0.002 texmanager.py:35(<module>)
      140    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 release.py:134(get_info)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
